"type","public","latitude","longitude","city","province","region"
"unknown",NA,50.2420147,5.5965922,"Manhay","Luxembourg","Wallonia"
"unknown",NA,50.556964,3.8891624,"Lens","Hainaut","Wallonia"
"unknown",NA,50.556059,3.9029157,"Lens","Hainaut","Wallonia"
"unknown",NA,50.556059,3.9029157,"Lens","Hainaut","Wallonia"
"unknown",NA,50.556059,3.9029157,"Lens","Hainaut","Wallonia"
"unknown",NA,50.8940397,4.4362628,"Diegem","Flemish Brabant","Flanders"
"unknown",NA,50.8940397,4.4362628,"Diegem","Flemish Brabant","Flanders"
"unknown",NA,50.8875826,4.4486562,"Diegem","Flemish Brabant","Flanders"
"unknown",NA,50.8940397,4.4362628,"Diegem","Flemish Brabant","Flanders"
"unknown",NA,50.8940397,4.4362628,"Diegem","Flemish Brabant","Flanders"
"unknown",NA,50.7220163,4.446833,"La hulpe","Walloon Brabant","Wallonia"
"unknown",NA,50.4720262,4.1237882,"Strépy-Bracquegnies","Hainaut","Wallonia"
"unknown",NA,50.7376438,4.4719962,"La hulpe","Walloon Brabant","Wallonia"
"unknown",NA,49.6846577,5.812493,"Arlon","Luxembourg","Wallonia"
"unknown",NA,50.6749053,4.5772252,"Ottignies","Walloon Brabant","Wallonia"
"unknown",NA,50.5994627,4.3276659,"Nivelles","Walloon Brabant","Wallonia"
"unknown",NA,50.4757008,4.1837618,"La","Hainaut","Wallonia"
"unknown",NA,50.4585412,4.8699927,"JambesNamur)","Namur","Wallonia"
"unknown",NA,50.4580547,4.8727029,"JambesNamur)","Namur","Wallonia"
"unknown",NA,50.4604901,4.8744901,"JambesNamur)","Namur","Wallonia"
"unknown",NA,50.4589586,4.8743215,"JambesNamur)","Namur","Wallonia"
"unknown",NA,50.4599643,4.8747263,"JambesNamur)","Namur","Wallonia"
"unknown",NA,50.4578168,4.8730571,"JambesNamur)","Namur","Wallonia"
"unknown",NA,50.6053241,3.3890399,"Tournai","Hainaut","Wallonia"
"unknown",NA,50.4626837,4.8703527,"Namur","Namur","Wallonia"
"unknown",NA,50.4656704,4.8709633,"Namur","Namur","Wallonia"
"unknown",NA,50.4626923,4.8539854,"Namur","Namur","Wallonia"
"unknown",NA,50.4684166,4.8684974,"Namur","Namur","Wallonia"
"unknown",NA,50.8471316,4.3536849,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.4115001,4.4436585,"Charleroi","Hainaut","Wallonia"
"unknown",NA,50.4490546,3.9452489,"Mons","Hainaut","Wallonia"
"unknown",NA,50.5259457,5.2381894,"Huy","Liege","Wallonia"
"unknown",NA,50.6348917,5.5715568,"Liège","Liege","Wallonia"
"unknown",NA,50.6119791,5.564206,"Liège","Liege","Wallonia"
"unknown",NA,50.6139554,5.6059968,"Liège","Liege","Wallonia"
"unknown",NA,50.5911841,5.8584183,"Verviers","Liege","Wallonia"
"unknown",NA,50.4497938,3.9450717,"Mons","Hainaut","Wallonia"
"unknown",NA,50.4607433,3.9531831,"Mons","Hainaut","Wallonia"
"unknown",NA,50.4662344,4.8537807,"Namur","Namur","Wallonia"
"unknown",NA,50.4654599,4.9083252,"Namur","Namur","Wallonia"
"unknown",NA,50.6448843,5.570448,"Liège","Liege","Wallonia"
"unknown",NA,50.6287747,5.5706893,"Liège","Liege","Wallonia"
"unknown",NA,50.6175588,5.5737913,"Liège","Liege","Wallonia"
"unknown",NA,50.5942048,5.8651031,"Verviers","Liege","Wallonia"
"unknown",NA,50.4655573,4.8632125,"Namur","Namur","Wallonia"
"unknown",NA,50.4542577,3.9532837,"Mons","Hainaut","Wallonia"
"unknown",NA,50.6314806,6.0340988,"Eupen","Liege","Wallonia"
